         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2750(extend_all)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.006    0.006 _char_codes.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:590(ndenumerate)
      200    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       70    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
        5    0.000    0.000    0.000    0.000 dataclasses.py:670(_init_fn)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
       40    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       23    0.000    0.000    0.000    0.000 enum.py:1593(__and__)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
       59    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
       30    0.000    0.000    0.000    0.000 dataclasses.py:446(add_fn)
       11    0.000    0.000    0.052    0.005 <frozen importlib._bootstrap_external>:1051(create_module)
       52    0.000    0.000    0.000    0.000 enum.py:810(__setattr__)
        1    0.000    0.000    0.001    0.001 _os.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:388(realpath)
       14    0.000    0.000    0.000    0.000 annotationlib.py:844(_build_closure)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      115    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       23    0.000    0.000    0.002    0.000 _compiler.py:590(_code)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
       32    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      279    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.000    0.000 typing.py:3827(__getattr__)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        6    0.000    0.000    0.000    0.000 warnings.py:84(__exit__)
       24    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      177    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      420    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      140    0.000    0.000    0.000    0.000 typing.py:1396(<genexpr>)
        1    0.000    0.000    0.002    0.002 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 traceback.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:111(_get_filters)
        8    0.000    0.000    0.000    0.000 dataclasses.py:541(__annotate__)
       11    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:341(__setitem__)
       44    0.000    0.000    0.000    0.000 inspect.py:662(unwrap)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
      143    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
        4    0.000    0.000    0.000    0.000 inspect.py:3257(format)
      213    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      144    0.000    0.000    0.000    0.000 inspect.py:3026(<genexpr>)
    29/20    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
        1    0.000    0.000    0.214    0.214 run_pipeline.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       81    0.000    0.000    0.000    0.000 enum.py:1575(_get_value)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1996(__init__)
      145    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
